"";"LMA";"Dur_flowering";"Entomophily";"Zooc";"Resprouter";"Height";"multifunctionality"
"X1";1;1;1;1;1;1;6
"X3";0;1;1;0;0;1;3
"X4";0;1;1;0;0;1;3
"X6";1;1;1;0;0;1;4
"X7";1;1;1;0;0;1;4
"X8";1;1;1;0;1;1;5
"X9";1;1;1;0;0;1;4
"X10";1;1;1;0;0;1;4
"X11";1;1;1;0;1;1;5
"X13";1;1;1;0;0;1;4
"X14";1;1;1;1;0;1;5
"X16";1;1;1;0;0;1;4
"X17";1;1;1;1;0;1;5
"X19";1;1;1;1;1;1;6
"X20";1;1;1;1;0;1;5
"X21";1;1;1;1;0;1;5
"X22";1;1;1;0;0;1;4
"X27";1;1;1;1;1;1;6
"X28";1;1;1;0;0;1;4
"X29";1;1;1;0;0;1;4
"X30";1;1;1;1;0;1;5
"X36";1;1;1;1;0;1;5
"X37";1;1;1;0;0;1;4
"X38";1;1;1;1;0;1;5
"X39";1;1;1;0;0;1;4
"X43";1;1;1;0;0;1;4
"X44";1;1;1;0;0;1;4
"X45";1;1;1;0;1;1;5
"X46";1;1;1;0;0;1;4
"X47";1;1;1;1;0;1;5
"X48";1;1;1;1;0;1;5
"X51";1;1;1;0;0;1;4
"X52";1;1;1;1;0;1;5
"X53";1;1;1;1;0;1;5
"X55";1;1;1;1;0;1;5
"X56";1;1;1;0;1;1;5
"X57";1;1;1;0;0;1;4
"X58";1;1;1;0;0;1;4
"X60";1;1;1;0;1;1;5
"X61";1;1;1;1;0;1;5
"X62";1;1;1;0;0;1;4
"X63";1;1;1;0;0;1;4
"X65";1;1;1;0;0;1;4
"X69";1;1;1;0;0;1;4
"X71";1;1;1;1;1;1;6
"X74";1;1;1;0;1;1;5
"X75";1;1;1;0;0;1;4
"X76";1;1;1;0;0;1;4
"X79";1;1;1;0;0;1;4
"X80";1;1;1;0;1;1;5
"PE10";1;1;1;1;0;1;5
"PE11";1;1;1;1;0;1;5
"PE13.1";1;1;1;1;0;1;5
"PE13.2";1;1;1;1;0;1;5
"PE14";1;1;1;1;1;1;6
"PE20";1;1;1;1;0;1;5
"UECR1";1;1;1;0;0;1;4
"UECR2";1;1;1;1;0;1;5
"UECR3";1;1;1;1;0;1;5
