"";"total";"ref";"rest";"arrab";"plan";"spon"
"X1";10;10;10;0;6;4
"X3";13;8;12;1;10;3
"X4";12;11;12;0;8;4
"X6";17;12;15;0;7;8
"X7";17;13;17;0;12;5
"X8";14;11;13;1;10;4
"X9";18;13;18;0;14;4
"X10";18;11;18;0;9;9
"X11";24;20;21;1;8;13
"X13";12;8;10;1;6;4
"X14";17;12;16;1;8;8
"X16";22;13;22;0;12;10
"X17";16;12;16;0;12;4
"X19";14;9;13;1;8;6
"X20";16;11;16;0;10;6
"X21";14;10;11;2;7;4
"X22";16;9;10;3;5;5
"X27";17;15;16;1;10;7
"X28";21;15;21;0;14;7
"X29";19;14;16;2;7;9
"X30";16;12;16;0;9;7
"X36";25;17;25;0;12;13
"X37";19;15;19;0;14;5
"X38";14;10;10;2;3;7
"X39";17;11;15;1;2;13
"X43";15;12;13;1;5;8
"X44";21;14;17;2;6;11
"X45";19;14;19;0;10;9
"X46";14;7;11;1;1;10
"X47";26;19;25;1;15;11
"X48";19;11;12;3;7;5
"X51";18;12;11;5;6;5
"X52";14;8;13;1;10;4
"X53";12;8;12;0;5;7
"X55";15;9;14;1;10;5
"X56";18;13;18;0;8;10
"X57";20;15;20;0;9;11
"X58";21;14;21;0;12;9
"X60";21;14;20;1;15;6
"X61";17;12;17;0;15;2
"X62";18;10;18;0;11;7
"X63";16;12;12;2;6;6
"X65";15;9;14;1;9;6
"X69";18;14;18;0;13;5
"X71";15;11;12;2;8;5
"X74";13;10;13;0;11;2
"X75";20;15;19;1;16;4
"X76";19;13;15;2;3;12
"X79";14;10;13;1;12;2
"X80";25;17;21;2;8;13
"PE10";16;7;15;1;7;9
"PE11";25;20;25;0;13;12
"PE13.1";21;16;20;1;13;8
"PE13.2";20;14;20;0;11;9
"PE14";19;14;18;1;15;4
"PE20";24;19;19;2;7;13
"UECR1";21;16;19;1;10;9
"UECR2";16;11;15;1;15;1
"UECR3";17;11;16;1;13;4
